"schema_name","table_name","constraint_name","column_name","referenced_schema","referenced_table","referenced_column","delete_action","update_action"
"dbo","Institution","FK_Institution_Parent","parent_id","dbo","Institution","id","NO_ACTION","NO_ACTION"
"dbo","integrateExchangeLog_list","FK_integrateExchangeLog_list_integratestatus_list","status","dbo","integratestatus_list","id","NO_ACTION","NO_ACTION"
"dbo","integrateExchangeLog_list","FK_integrateExchangeLog_list_user_list","user_id","dbo","user_list","id","NO_ACTION","NO_ACTION"
"dbo","integrateLog_list","FK_integrateLog_list_integrateLogType_list","type","dbo","integrateLogType_list","id","NO_ACTION","NO_ACTION"
"dbo","integrateLog_list","FK_integrateLog_list_Literature","literature_id","dbo","Literature","id","NO_ACTION","NO_ACTION"
"dbo","integrateLog_list","FK_integrateLog_list_user_list","user_id","dbo","user_list","id","NO_ACTION","NO_ACTION"
"dbo","Literature","FK_Literature_LiteratureCategory","category_id","dbo","LiteratureCategory","id","NO_ACTION","NO_ACTION"
"dbo","Literature","FK_Literature_LiteratureImportBatch","import_batch_id","dbo","LiteratureImportBatch","id","NO_ACTION","NO_ACTION"
"dbo","Literature","FK_Literature_reviewed_by_admin","reviewed_by","dbo","admin","id","NO_ACTION","NO_ACTION"
"dbo","Literature","FK_Literature_user_list","userid","dbo","user_list","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureAuthorMap","FK_LiteratureAuthorMap_Author","author_id","dbo","Author","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureAuthorMap","FK_LiteratureAuthorMap_Literature","literature_id","dbo","Literature","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureCategory","FK_LiteratureCategory_Parent","parent_id","dbo","LiteratureCategory","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureDownloadLog","FK_LiteratureDownloadLog_Literature","literature_id","dbo","Literature","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureDownloadLog","FK_LiteratureDownloadLog_uploader_user_list","literature_user_id","dbo","user_list","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureDownloadLog","FK_LiteratureDownloadLog_user_list","user_id","dbo","user_list","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureExportLog","FK_LiteratureExportLog_user_list","userid","dbo","user_list","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureFavorite","FK_LiteratureFavorite_Literature","literature_id","dbo","Literature","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureFavorite","FK_LiteratureFavorite_user_list","userid","dbo","user_list","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureFile","FK_LiteratureFile_Literature","literature_id","dbo","Literature","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureImportBatch","FK_LiteratureImportBatch_user_list","userid","dbo","user_list","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureImportError","FK_LiteratureImportError_LiteratureImportBatch","batch_id","dbo","LiteratureImportBatch","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureTagMap","FK_LiteratureTagMap_Literature","literature_id","dbo","Literature","id","NO_ACTION","NO_ACTION"
"dbo","LiteratureTagMap","FK_LiteratureTagMap_LiteratureTag","tag_id","dbo","LiteratureTag","id","NO_ACTION","NO_ACTION"
"dbo","NoticeLog_List","FK_NoticeLog_List_NoticeLogStatus_List","status","dbo","NoticeLogStatus_List","id","NO_ACTION","NO_ACTION"
"dbo","NoticeLog_List","FK_NoticeLog_List_NoticeLogType_List","type","dbo","NoticeLogType_List","id","NO_ACTION","NO_ACTION"
"dbo","NoticeLog_List","FK_NoticeLog_List_user_list","userid","dbo","user_list","id","NO_ACTION","NO_ACTION"
"dbo","ServiceLog_List","FK_ServiceLog_List_ServiceLogStatus_List","status","dbo","ServiceLogStatus_List","id","NO_ACTION","NO_ACTION"
"dbo","ServiceLogInfo_List","FK_ServiceLogInfo_List_ServiceLog_List","ServiceLog_Id","dbo","ServiceLog_List","id","NO_ACTION","NO_ACTION"
