"schema_name","table_name","column_id","column_name","data_type","max_length","precision","scale","is_nullable","seed_value","increment_value","default_definition"
"dbo","admin","1","id","int","4","10","0","False","1","1",""
"dbo","admin","2","username","nvarchar","100","0","0","False","","",""
"dbo","admin","3","password","nvarchar","100","0","0","True","","",""
"dbo","admin","4","popedom","nvarchar","-1","0","0","True","","",""
"dbo","admin","5","lastloginip","nvarchar","100","0","0","True","","",""
"dbo","admin","6","cityid","int","4","10","0","True","","",""
"dbo","admin","7","locks","int","4","10","0","True","","",""
"dbo","admin","8","code","nvarchar","100","0","0","True","","",""
"dbo","admin","9","lastlogindate","datetime","8","23","3","True","","","(getdate())"
"dbo","appeal_list","1","id","bigint","8","19","0","False","1","1",""
"dbo","appeal_list","2","url","nvarchar","5000","0","0","False","","",""
"dbo","appeal_list","3","info_","nvarchar","-1","0","0","False","","",""
"dbo","appeal_list","4","addtime","datetime","8","23","3","False","","",""
"dbo","appeal_list","5","status","int","4","10","0","False","","",""
"dbo","appeal_list","6","userid","int","4","10","0","False","","",""
"dbo","appealimg_list","1","appeal_id","bigint","8","19","0","False","","",""
"dbo","appealimg_list","2","upload_pic_info","nvarchar","500","0","0","False","","",""
"dbo","appealimg_list","3","addtime","datetime","8","23","3","False","","",""
"dbo","appealimg_list","4","orderid","int","4","10","0","False","","",""
"dbo","Author","1","id","int","4","10","0","False","1","1",""
"dbo","Author","2","name_cn","nvarchar","200","0","0","False","","",""
"dbo","Author","3","name_en","nvarchar","400","0","0","True","","",""
"dbo","Author","4","institution","nvarchar","600","0","0","True","","",""
"dbo","Author","5","orcid","nvarchar","100","0","0","True","","",""
"dbo","Author","6","email","nvarchar","400","0","0","True","","",""
"dbo","Author","7","status","int","4","10","0","False","","","((1))"
"dbo","Author","8","addtime","datetime","8","23","3","False","","","(getdate())"
"dbo","Author","9","current_institution_id","int","4","10","0","True","","",""
"dbo","Author","10","current_institution_name","nvarchar","2000","0","0","True","","",""
"dbo","Author","11","current_institution_literature_id","int","4","10","0","True","","",""
"dbo","Author","12","current_institution_sort_date","date","3","10","0","True","","",""
"dbo","Author","13","current_institution_precision","nvarchar","40","0","0","True","","",""
"dbo","Author","14","identity_status","nvarchar","60","0","0","True","","",""
"dbo","Author","15","merge_group_id","int","4","10","0","True","","",""
"dbo","Author","16","updatetime","datetime","8","23","3","False","","","(getdate())"
"dbo","Author","17","merged_to_author_id","int","4","10","0","True","","",""
"dbo","AuthorInstitutionHistory","1","id","int","4","10","0","False","1","1",""
"dbo","AuthorInstitutionHistory","2","author_id","int","4","10","0","False","","",""
"dbo","AuthorInstitutionHistory","3","institution_name","nvarchar","1000","0","0","False","","",""
"dbo","AuthorInstitutionHistory","4","is_current","int","4","10","0","False","","","((0))"
"dbo","AuthorInstitutionHistory","5","start_year","int","4","10","0","True","","",""
"dbo","AuthorInstitutionHistory","6","end_year","int","4","10","0","True","","",""
"dbo","AuthorInstitutionHistory","7","source_literature_id","int","4","10","0","True","","",""
"dbo","AuthorInstitutionHistory","8","source_type","nvarchar","100","0","0","True","","",""
"dbo","AuthorInstitutionHistory","9","remark","nvarchar","1000","0","0","True","","",""
"dbo","AuthorInstitutionHistory","10","status","int","4","10","0","False","","","((1))"
"dbo","AuthorInstitutionHistory","11","addtime","datetime","8","23","3","False","","","(getdate())"
"dbo","AuthorInstitutionHistory","12","updatetime","datetime","8","23","3","False","","","(getdate())"
"dbo","AuthorInstitutionHistory","13","institution_id","int","4","10","0","True","","",""
"dbo","AuthorMergeLog","1","id","int","4","10","0","False","1","1",""
"dbo","AuthorMergeLog","2","master_author_id","int","4","10","0","False","","",""
"dbo","AuthorMergeLog","3","duplicate_author_id","int","4","10","0","False","","",""
"dbo","AuthorMergeLog","4","admin_id","int","4","10","0","False","","","((0))"
"dbo","AuthorMergeLog","5","remark","nvarchar","2000","0","0","True","","",""
"dbo","AuthorMergeLog","6","addtime","datetime","8","23","3","False","","","(getdate())"
"dbo","Conference","1","id","int","4","10","0","False","1","1",""
"dbo","Conference","2","name_cn","nvarchar","600","0","0","False","","","(N'')"
"dbo","Conference","3","name_en","nvarchar","1000","0","0","True","","",""
"dbo","Conference","4","acronym","nvarchar","200","0","0","True","","",""
"dbo","Conference","5","normalized_name","nvarchar","1000","0","0","False","","",""
"dbo","Conference","6","organizer","nvarchar","1000","0","0","True","","",""
"dbo","Conference","7","country","nvarchar","400","0","0","True","","",""
"dbo","Conference","8","city","nvarchar","400","0","0","True","","",""
"dbo","Conference","9","start_date","datetime","8","23","3","True","","",""
"dbo","Conference","10","end_date","datetime","8","23","3","True","","",""
"dbo","Conference","11","website","nvarchar","2000","0","0","True","","",""
"dbo","Conference","12","status","int","4","10","0","False","","","((1))"
"dbo","Conference","14","addtime","datetime","8","23","3","False","","","(getdate())"
"dbo","Conference","15","updatetime","datetime","8","23","3","False","","","(getdate())"
"dbo","cosfile_list","1","userid","int","4","10","0","False","","",""
"dbo","cosfile_list","2","addtime","datetime","8","23","3","False","","",""
"dbo","cosfile_list","3","up_filename","nvarchar","500","0","0","False","","",""
"dbo","daoru_list","1","id","int","4","10","0","False","1","1",""
"dbo","daoru_list","2","posttime","datetime","8","23","3","False","","",""
"dbo","daoru_list","3","r_info","nvarchar","1000","0","0","False","","",""
"dbo","daoru_list","4","status","int","4","10","0","False","","",""
"dbo","daoru_list","5","type","int","4","10","0","False","","",""
"dbo","daoruerr_list","1","info","nvarchar","1000","0","0","False","","",""
"dbo","daoruerr_list","2","filename","nvarchar","500","0","0","False","","",""
"dbo","daoruerr_list","3","addtime","datetime","8","23","3","False","","",""
"dbo","daoruerr_list","4","daoruid","int","4","10","0","False","","",""
"dbo","data_list","1","id","int","4","10","0","False","1","1",""
"dbo","data_list","2","name","nvarchar","1200","0","0","True","","",""
"dbo","data_list","3","tbclass_id","int","4","10","0","False","","","((0))"
"dbo","data_list","4","upload_pic_img","nvarchar","100","0","0","True","","",""
"dbo","data_list","5","isshow","int","4","10","0","False","","","((0))"
"dbo","data_list","6","addtime","datetime","8","23","3","False","","",""
"dbo","data_list","7","uptime","datetime","8","23","3","False","","",""
"dbo","data_list","8","datetime","datetime","8","23","3","False","","",""
"dbo","data_list","9","orderid","int","4","10","0","False","","",""
"dbo","data_list","10","info_","nvarchar","-1","0","0","True","","",""
"dbo","data_list","11","keywords","nvarchar","-1","0","0","True","","",""
"dbo","data_list","12","description","nvarchar","-1","0","0","True","","",""
"dbo","data_list","13","title","nvarchar","-1","0","0","True","","",""
"dbo","data_list","14","istop","int","4","10","0","False","","",""
"dbo","indexsingle_list","1","id","int","4","10","0","False","1","1",""
"dbo","indexsingle_list","2","name","nvarchar","1200","0","0","True","","",""
"dbo","indexsingle_list","3","upload_pic_img","nvarchar","100","0","0","True","","",""
"dbo","indexsingle_list","4","upload_pic_m","nvarchar","500","0","0","True","","",""
"dbo","indexsingle_list","5","upload_pic_pc","nvarchar","500","0","0","True","","",""
"dbo","indexsingle_list","6","isshow","int","4","10","0","False","","","((0))"
"dbo","indexsingle_list","7","addtime","datetime","8","23","3","False","","",""
"dbo","indexsingle_list","8","uptime","datetime","8","23","3","False","","",""
"dbo","indexsingle_list","9","orderid","int","4","10","0","False","","",""
"dbo","indexsingle_list","10","info_","nvarchar","-1","0","0","True","","",""
"dbo","indexsingle_list","11","keywords","nvarchar","-1","0","0","True","","",""
"dbo","indexsingle_list","12","description","nvarchar","-1","0","0","True","","",""
"dbo","indexsingle_list","13","title","nvarchar","-1","0","0","True","","",""
"dbo","indexsingle_list","14","istop","int","4","10","0","False","","",""
"dbo","indexsingle_list","15","istype","int","4","10","0","False","","",""
"dbo","indexsingle_list","16","url","nvarchar","5000","0","0","True","","",""
"dbo","Institution","1","id","int","4","10","0","False","1","1",""
"dbo","Institution","2","name_cn","nvarchar","600","0","0","False","","","(N'')"
"dbo","Institution","3","name_en","nvarchar","1000","0","0","True","","",""
"dbo","Institution","4","normalized_name","nvarchar","1000","0","0","False","","",""
"dbo","Institution","5","alias_names","nvarchar","-1","0","0","True","","",""
"dbo","Institution","6","country","nvarchar","400","0","0","True","","",""
"dbo","Institution","7","province","nvarchar","400","0","0","True","","",""
"dbo","Institution","8","city","nvarchar","400","0","0","True","","",""
"dbo","Institution","9","website","nvarchar","2000","0","0","True","","",""
"dbo","Institution","10","status","int","4","10","0","False","","","((1))"
"dbo","Institution","12","addtime","datetime","8","23","3","False","","","(getdate())"
"dbo","Institution","13","updatetime","datetime","8","23","3","False","","","(getdate())"
"dbo","Institution","14","parent_id","int","4","10","0","True","","",""
"dbo","InstitutionAlias","1","id","int","4","10","0","False","1","1",""
"dbo","InstitutionAlias","2","institution_id","int","4","10","0","False","","",""
"dbo","InstitutionAlias","3","alias_name","nvarchar","1000","0","0","False","","",""
"dbo","InstitutionAlias","4","normalized_alias","nvarchar","1000","0","0","False","","",""
"dbo","InstitutionAlias","5","language","nvarchar","100","0","0","True","","",""
"dbo","InstitutionAlias","6","status","int","4","10","0","False","","","((1))"
"dbo","InstitutionAlias","7","addtime","datetime","8","23","3","False","","","(getdate())"
"dbo","integrate_list","1","id","int","4","10","0","False","1","1",""
"dbo","integrate_list","2","name","nvarchar","500","0","0","False","","",""
"dbo","integrate_list","3","orderid","int","4","10","0","False","","",""
"dbo","integrate_list","4","uptime","datetime","8","23","3","False","","",""
"dbo","integrate_list","5","addtime","datetime","8","23","3","False","","",""
"dbo","integrate_list","6","upload_pic_img","nvarchar","500","0","0","True","","",""
"dbo","integrate_list","7","about_","nvarchar","-1","0","0","True","","",""
"dbo","integrate_list","8","num_integrate","int","4","10","0","False","","",""
"dbo","integrateExchangeLog_list","1","id","bigint","8","19","0","False","1","1",""
"dbo","integrateExchangeLog_list","2","name","nvarchar","1000","0","0","False","","",""
"dbo","integrateExchangeLog_list","3","num_integrate","int","4","10","0","False","","",""
"dbo","integrateExchangeLog_list","4","codestr","nvarchar","500","0","0","False","","",""
"dbo","integrateExchangeLog_list","5","addtime","datetime","8","23","3","False","","",""
"dbo","integrateExchangeLog_list","6","status","int","4","10","0","True","","",""
"dbo","integrateExchangeLog_list","7","user_id","int","4","10","0","False","","",""
"dbo","integrateExchangeLog_list","8","upload_pic_img","nvarchar","500","0","0","True","","",""
"dbo","integrateExchangeLog_list","9","hexiaotime","nvarchar","500","0","0","True","","",""
"dbo","integrateLog_list","1","id","int","4","10","0","False","1","1",""
"dbo","integrateLog_list","2","num_integrate","int","4","10","0","False","","",""
